标题,阅读量,评论,时间
蓝筹继续震荡上行，中小创继续反弹高抛。事实胜于雄辩。,464,0,
万能的中国股市,450,0,
蓝筹股调整！,435,0,
换创业板股票！,791,1,
庄家主板与创业板来回切换割韭菜,531,0,
哀鸿遍野啊，刚进上证50主力又提前潜伏了创业板！,666,0,
恶意的做空没人管,485,0,
韭菜们  快跑啊    上证50和沪深300要割韭菜了,547,0,
"散户受到A股的教育次数太多,而基金,保险等大机构资金没有受到教育,在T十1制度下",420,0,
IPO常态化了，加速股票退市。市场修复指数，分化更加严重。警惕七上八下，调整谨慎,414,0,
IPO常态化了，加速股票退市。市场修复指数，分化更加严重。今天七上八下，调整谨慎,403,0,
主动买套,606,1,
指数铁定跌四周,311,0,
如果再来一次抗战……,532,0,
券商有在集体做空了，用股指期货做空，看看内外盘就知道了，,709,2,
大银行拉高指数，掩护机构出货忙。下午震荡探新底，天热股指绿茵茵。今晚老美出消息，,754,1,
A股伤透了心，伤过了身，伤晕了神！,458,0,
"早盘银行快速拉高后铜与稀土全面展开做多. 四大行不可能无休止的拉高,他们休息后又",647,0,
卧槽！恐怖！,485,0,
看见吗刚刚上证刚刚发红，期指有一次集体做空把上证打下来，真的是无法无天了，相这样,513,0,
直上4000点，抢买大盘股,431,0,
快抢漂亮点50,423,0,
"只有T十O才能杜绝基金等大资金乱炒股,因为一旦闪崩,一下跌到只有零头,谁还敢乱炒",574,0,
上证50/沪深300阶段顶成立，盈利者逃,436,0,
"一支垃级,一支好股,必定垃级股价高,并长期炒作,这与散户的认识和多少有关,这就是",375,0,
蓝筹股下跌之日，个股普涨之时。,443,0,
泥沙俱下，今天震荡。,624,1,
大盘创新高，谁来当炮灰,458,0,
散户快买银行股，便于坐空杀跌,488,0,
哎呦!大盘跳水啊！快拉300上去，这情况你懂的。,471,0,
5O，300拉高出货，快逃,488,0,
金融风暴要来了快跑吧沪深三百跌三百点,1004,1,
123456789,345,0,
a股太奇怪了a股为什么那些专家都要套现了快点出来吧散户买,483,0,
美国的金融风暴要来了快点跑吧我要做空a股美股港股,535,0,
开始了,498,0,
给我跌跌跌下去,410,0,
8好消息A股创业板估值真相：不但接近纳斯达克 还接近历史底部云意电气绩优盘适中低,504,0,
广西湖南贵州等地受洪涝灾害影响，股市中要抓住受洪涝灾害影响而受益的股票，农业近期,573,0,
忠言逆耳！！！谨防低市盈率陷阱，媒体力挺600133等4倍市盈利（一笔投资收益）,933,1,
沪深300出现溢水理论。上证50高位，中小创暂时熄火。,1267,1,
权重股逢高减仓中。创业板夺路而逃，明天探新低。,553,0,
，反抽结束熊市每一次反弹利好都是逃命机会后面lpo每周6一10家全年500家和万,489,0,
"午后航天军工暴发洪都航空快速拉升7%;建设军事强国下,迎建军90周年,严重超跌航",682,0,
现在是时候改变T+1交易制度了,364,0,
继续拉大盘指数，散户就是不来凑热闹，不来接盘，终于有玩不下去的那一天。呵呵,426,0,
喝酒都喝不够了,465,0,
是时候该把上证50賺的钱投入中小创了，只当没贝兼！ 就定增方案中项目财务评价来看,489,0,
欧洲大跌，今天上午诱多，冲高逃命机会,408,0,
3反抽结束熊市每一次反弹利好都是逃命机会后面lpo每周6一10家全年500家和万,327,0,
反抽结束熊市每一次反弹利好都是逃命机会后面lpo每周6一10家全年500家和万亿,602,0,
在中国股市彻底破产清算返还股东权益的公司一个都没有。 绝大多数连续亏损的股票都是,1429,2,
为了不可告人的利益，或者说为了媚上，在没有支撑ipo常态化基础上硬要ipo常态化,990,1,
民航板块启动在即，关注成长股春秋航空！！！,673,0,
你们说泸深300要涨到多少,1832,2,
好了，是时候拉高了，晚上才好意思，这个政治任务，必须的。,481,0,
今天上午诱多，下午暴跌，金融保险石油蓝筹股护盘,594,0,
指数上涨真诡密，上下震荡忽悠急。无人商店智能化，市场出现新业态。风口游资已进场，,481,0,
）反抽结束熊市每一次反弹利好都是逃命机会后面lpo每周6一10家全年500家和万,492,0,
跟着中信证券做空300指数,1029,1,
创业板真熊，个股风险大。该卖的要快，该割的不惜。周五变数多，禁果务偷吃。周末消息,490,0,
A股在T十Ⅰ制度下涨得慢跌得快,608,0,
上午诱多，卖了券商，有色，煤炭，太多获利盘回吐，其它板块下午大跌，明天暴跌，满仓,609,0,
上午诱多，获利盘太多回吐，消费类蓝筹股护盘，下午暴跌，股票就是国家队控制涨跌，想,1292,1,
缺口不补上攻，诱多还在路上。上涨忐忐忑忑，增量后知后觉。等待下午跳水。调仓换股雄,457,0,
唱多的呢，打的啪啪啪,431,0,
为了搞好股票激励机制，建议以后主板形成自动转板机制，主板股票市值连续三个月在10,475,0,
沪深300一直这样涨，真叫人虚火[困顿],1840,3,
股票就是国家队控制涨跌，想叫创业板涨，10亿拉涨停5高股，橡胶跌也是，5亿闪崩1,638,0,
今天300肾虚了，对于个股是个好消息，周五还是需要300顶住，今天就休息一下，让,668,0,
新大陆，发现新大陆，绝世好股,447,0,
股灾有了4.0版?,951,2,
股指期货有问题吗?做空有问题吗?超量发新有问题吗？邓伯伯是什样做的，他是世界的伟,919,0,
现在是顶背离吗，看不懂，求高手,545,0,
你今年涨865856855680000000000万亿点也屁用,562,0,
0熊市每一次反弹利好都是逃命机会后面lpo每周6一10家全年500家和万亿限售股,492,0,
创业板走势应该反弹2到3天，周五继续杀，双休日减少发新股，星期一反弹后再杀，一直,1040,1,
千股暴跌还历史欠账。降低中报预期，远离系统风险。反弹坚决离场，五穷六绝七翻身（船,627,0,
炒股就是炒分红能力和分红能力的成长性！其它都是扯淡！,776,0,
"乐视通过讲故事,并在讲故事体制下害了太多人。",672,0,
603303邦得照明，34.5进的，本月能回本吗？[哭],497,0,
闪崩也没用，不下2500老子就是不买呵嘿哈,595,0,
"信心都恢复不起来了,今后资金越来越少,而A股又是资金推动型股市。",611,0,
远离中小盘，业绩预告变脸和减持，个股都闪崩，买入国家队持股，金融，有色，煤炭，钢,880,0,
证监会，保监会，银监会，黑社会，新华社，复兴社，请问区别在什么地方？,3944,4,
"如果你相信庄家的平仓线,你会被打脸,它的平仓线定得高高的。",691,0,
向韩志国先生致敬！,1427,1,
中国GDP金球牛叉叉，A股宇宙熊宝宝！,628,1,
5千股跌停再现熊市每一次反弹利好都是逃命机会后面lpo每周6一10家全年500家,583,0,
2015以前很多散户没有开通创业板，15年牛市散户才发现创业板，随后涨的却是他们,745,0,
《经济观察报》揭开发审委黑幕：“一名前主板发审委委员在接受采访时表示，早期是窗帘,2280,1,
高盛周末通知机构，清空上证50，和国家队比赛出逃，今天全部诱高出货，明天开始补跌,1015,0,
通威中报预增，盈利7亿一8亿元，理财资金有8亿元。股价下跌有诈。,969,1,
从180指数开始拉了。,556,0,
明天低开闷杀蓝筹股，国家队出场，机构和散户接刀。,771,0,
有本事跌停，老子的钱也不要了，,925,2,
中小盘，业绩差暴跌，蓝筹股开始补跌，股灾来了，大家快跑，套死贪婪的,601,0,
趁着国家队啦指数，大家清仓了，最近蓝筹股补跌，小盘股暴跌,544,0,
等你抗不过客观规律那天，脖子洗干净些,533,0,
明天补跌,471,0,
空头大获全胜,539,0,
前些日子是跌股票，接下来是暴跌指数，历史规律不可抗拒。所谓低市盈率只是掩人耳目。,562,0,
覆巢之下无完卵,486,0,
市场将迎来强势股补跌暴跌阶段，所以股票无一幸免于难。股灾发生指日可待。,601,0,
请做好上场准备,523,0,
上市成本那么高，而且还有隐性成本，一群寄生于资本市场的利益者，为谁辛苦为谁忙……,540,0,
股指期货中国是高手,440,0,
基因错配是监管混乱的深层根源 （这是中央电视台财经频道资深主持人姚振山发表在《第,2140,2,
站在山顶上的中国石油人解套有望了！[鼓掌],563,0,
这种股市全世界没有的涨250家也不到，跌2870多家，这算什么股市啊，,570,0,
知道为啥我从300跳到创业板吗？那是因为创业才是中国的希望，抹杀创业板和抹杀中国,838,0,
IPO泛滥，中小盘闪崩，与其等死，大股东不如减持跑国外，这就是中小盘闪崩的原因，,593,0,
中国股市除了金融股，其它都要熄火，金融翻3倍，其它都要破发，一年四个季度业绩报告,614,0,
2015 06 04,534,0,
多方胜出,458,0,
国家队拉蓝筹股个股自救，爆拉诱多，明天惨了，中国股票只能,1282,1,
股市是投资市场。也是淘金市场，而不是投资者坟墓。民强国才强，而不是国强才民强。以,538,0,
国家队不拉小盘股，股灾难免，今天蓝筹股个股自救，爆拉诱多，明天惨了，中国股票只能,542,0,
真他妈的爽歪歪！操了长安！兄弟们，买入长安汽车，持股待涨！价值投资！,586,0,
今天个股自救，爆拉诱多，明天惨了，中国股票只能炒几个蓝筹股，IPO泛滥，中小盘全,466,0,
今天能跑都跑了，股灾,703,1,
IPO常态化与超发是两码事，勿指鹿为马，做人要讲良心。,1524,2,
爽歪歪，万绿丛中一点红！连续涨几天,422,0,
国家队拉蓝筹股不如拉几只小盘股涨停，不然股灾难免,547,0,
股市爆跌了就安全了吗?,541,0,
全国金融会议召开，创业板上周提前下跌。市场分化严重，调整仍然没有结束。防范风险监,577,0,
指数上涨 股票一片绿 股市彻底完蛋了,461,0,
-熊市每一次反弹利好都是逃命机会后面lpo每周6一10家全年500家和万亿限售股,516,0,
今天散户记得大举进攻上证50和沪深300个股，把所有小盘股都清仓了，都记得了！,534,0,
600516新材料村料从六块多今年涨到18.86块哪新材料材枓有个002585净资产8.27业绩0.06，股价倒挂7.55更定要补涨比价,3206,10,
. . .7月16日晚间上市公司利好消息一览 相关股票：&#160;长城汽车&#160;长城汽车友讯,554,0,
广西湖南贵州等地受洪涝灾害影响，股市中要抓住受洪涝灾害影响而受益的股票，农业近期,709,0,
投资策略分享！ kdj和macd底部金叉是买点，高位死叉背离就是卖点。 多头震荡,584,0,
是谁在为高速发行IPO唱赞歌！想想今后几年的解禁市值！谁敢长期持有股票？就就是中,2470,5,
请求GJ开个周五红盘的盘口！！！,532,0,
拿个鸡毛当令剑，不识货，炒什么股,547,0,
Gjd稳住上证50就是为IPO,679,0,
软怕硬，硬怕横，横怕不要命，不要命怕不要脸,570,0,
把制度建设好了才进是散户唯一选择,705,0,
对着鸡狗抱团坐庄拉高协助套现的鸡狗轰！信坏痛心，佬板电气等，,466,0,
不一定只拉50，拉300也有效果,599,0,
阴跌不断，温水煮青蛙，就算我是青蛙，我也要跳了逃生，不能背你煮死！！！,950,0,
割肉走人，换北京科锐，这股太垃圾！,806,0,
发得出新股就靠300啦！加油吧！,709,0,
一年以后，中小盘个股，次新股，业绩差的，60%都要破发,1230,1,
熊市IPO放缓既是市场化调控，又是国际惯例本来不想参与讨论这个话题的，看到很多打,2674,3,
本人要求不高，跑赢上证50或者沪深300就够了，同时只买上证50及沪深300的股,2287,4,
未来数月股市不会下跌了！,598,0,
受央行很快加息的利好消息影响，沪300指数继续大涨,596,0,
指数要暴跌趋势抓紧准备空仓,536,0,
救市变庄家,480,0,
沒沒有哪个庄家能在股市上坚持二十年,622,0,
资金进场抢银行及权重股，创业板应声而下去探底。高抛出局是首选。,537,0,
最吊的时候到了，为了下周指数好看点，加油吧！,635,0,
在高点没卖，窝心,673,0,
"去你妈的，又拉又砸,",595,0,
要跌就跌，不死不活,538,0,
昨天发帖叫你们买沪深,807,1,
沪深300，中流砥柱。,629,0,
有了漂亮50后，股市市值蒸发了几万亿了，有人算过吗?,771,0,
沪深两市游戏网络股中市盈率最低的002354不知下跌空间还有多少？希望大机构能够,510,0,
破位下跌，即将千股跌停？,459,0,
跟50者必套十年,750,1,
大盘三个交易日之内必崩,524,0,
股市近期有拉抬指标股掩护出货的嫌疑，守好你的钱袋子。,433,0,
"作为证券市场长期投资者,为维护市场长期稳定,不要捞完政绩拍屁股走人,留下受伤的你",621,0,
老子的股今天太涨！开心！,608,0,
广西湖南贵州等地受洪涝灾害影响，股市中要抓住受洪涝灾害影响而受益的股票，农业近期,762,0,
农业近期暴涨，农业股已经大涨，600108已经放量启动，近期不断吸筹，大涨在即，,677,0,
坚强的沪深300你好,640,0,
太有才了,1072,13,
既然你要举大象，那你就举好了，我欣赏,568,0,
"庄家控股多的泜“涨,这是T十1的功劳",475,0,
4熊市每一次反弹利好都是逃命机会后面lpo每周6一10家全年500家和万亿限售股,560,0,
盐铁专营和土地专营，盐商和房地产商,1365,4,
世茂股份:估值洼地、真金白银、物美价廉、破净破发！,6481,16,
红三兵，后市欣欣向荣,524,0,
有钱能使鬼推磨,603,0,
股票自7月5日来，调整幅度越来越小，小到底了就会越来越大。,547,0,
下午好看了，今天下探3200线，注意了,535,0,
[献花][献花][献花][献花],1063,4,
：熊市每一次反弹利好都是逃命机会后面lpo每周6一10家全年500家和万亿限售股,568,0,
农业近期暴涨，农业股已经大涨，600108已经放量启动，大涨在即，月线6连阴，6,677,0,
向韩志国先生致敬。,827,0,
农业近期暴涨，农业股已经大涨，600108已经放量启动，大涨在即，月线6连阴，6,655,0,
～连拉小阳小心下周一根长阴打回原形,577,0,
和昨天一样，收盘时才慢慢爬上来,447,0,
"看来在T十1制度下永远没有价值投资,在T十O制度下看有没有价值投资还不一定。",499,0,
全国水灾，粮食生产必受影响，粮食龙头北大方是机会。,530,0,
沪深300现在止盈。,867,0,
好像被人骂习惯了,504,0,
欧美股市陆续暴跌，中国股市独善其身。黑色星期五止盈止损。,712,0,
）隔夜外盘：欧美股三大股指全线下挫 道指跌逾150点,605,0,
欧美股市中期下跌空间打开，沪深股市磨磨唧唧震荡向上。中报行情正在展开，科大讯飞龙,607,0,
沪深300领头羊已有筑顶迹象，即使还有新高也是这波行情的最后一冲，注意逢高减持。,652,0,
谨防大跌,453,0,
明天低开低走，开始阴跌不止，然后闸刀举起，接着自由落体,722,1,
风险加大！,771,1,
"光吃不拉,撑得爬都爬不动,更不要座起像人。",610,0,
站得这么高   却发现没人跟你玩了    这可咋办呢？,1623,4,
"炒作垃圾股的思路一直没变,过去,现在,将来同样,这是特色",551,0,
2:30开始暴跌，走了,583,0,
获利盘回吐，今天跌，明天更跌,489,0,
让我们见证神奇的两点半之自由落体运动,413,0,
闸刀已举起，呔！看刀！！！,584,0,
/熊市每一次反弹利好都是逃命机会后面lpo每周6一8家全年500家和万亿限售股解,889,1,
回调是陷阱还是馅饼！今天午盘复星再次闪崩跳水，引起大部分股票出现跟随，快速下跌的,774,0,
来吧，闪崩2500,490,0,
”熊市每一次反弹利好都是逃命机会后面lpo每周6一8家全年500家和万亿限售股解,523,0,
广晟有色600259稀土指标股奔涨停,526,0,
妈的就你不挣气,398,0,
区匿麻彼的腊鸡，只会拉指数,554,0,
上证50已堕落为大鳄打拉指数的罪恶工具！,658,0,
上证50  和沪深300昨天进入回光返照阶段。若她们俩不做ABC调整，若茅台，格,742,0,
本人要求不高，跑赢上证50或者沪深300就够了，同时只买上证50及沪深300的股,508,0,
告诉大家一个好消息！我忍住贪心空仓第八个交易日了！,1471,3,
四周的回调周期将在两周内开始，阶段头部出货继续中。,544,0,
明天起开启新一轮暴跌模式，不断闸刀落下,1206,2,
上半年任务完成。15%,588,0,
"稀土永磁,小金属次新超跌个股后市带领指数冲关3300",715,0,
韩志国团队：我和我的律师团队已经全部到达一个绝对安全的地方！金融评论员贺江兵微博,2296,1,
蓝筹股50补涨两天，雄安板块调整两天,597,0,
阴跌刚刚开始,434,0,
603009,440,0,
记住恒生电子600570。天下谁人不识云？大风起兮云飞腾一一一世界的阿里巴巴，世,1665,2,
装逼蛋死吧,657,0,
明天50和300调整完毕开始再创新高,827,0,
ppi,508,0,
筹码正有条不紊的交给韭菜们，老乡来吧，漂亮50行情还没完，,578,0,
z,496,0,
天天忽悠价值投资，还要长线。赤兔马，如果T+0，再好的股都不会持一股过夜,604,0,
那一头大猪想法和山沟沟里老爷爷想法一样，炒股是不务正业，所以才有目前状态，赤兔马,769,0,
在高位横盘了一周，酷似5178,668,0,
"二十几年的股票以垃级股为核心的小盘或菥股炒作为标准,今后还是不是这种模式也许是也",618,0,
强势板块集体回调，上涨指数下午再创新低。落袋为安！,554,0,
逢低有资金吸纳，逢高有资金减仓。传统产业转型不易。双龙头百尺竿头。,514,0,
坚决做空，所为的漂亮5o，就是叫大家买，坚决不买，谁买套谁，现在看见了吗?所为5,590,0,
妈的看看国外股市外看看国内国内股市就没涨过坑爹啊,699,0,
狗不如,442,0,
目前指数还在缩量整理，不断推升，复合我们六月低的预期，震荡上升的结构牛市行情开始,1052,0,
荒唐绿色市场,492,0,
[不赞]熊市每一次反弹利好都是逃命机会后面lpo每周6一8家全年500家和万亿限,644,0,
本周指数走势预期：3200点上下20点震荡。短线反弹继续，关注中报预期大幅预喜股,580,0,
破掉3646止盈。,665,0,
要死吗,484,0,
大盘太弱了，,641,1,
有老司机致电下60日均线这么调出吗》之能看到30日的,788,0,
"现在这么多大学毕业生找不到好的工作,是不是让国有好企业让部份工龄三十年以上,年龄",1997,1,
[买入]长阳6月已成定局7月大盘走势良好震荡上行多氟多锂电池板块中低股价低涨幅低,623,0,
全球暴跌，月末，周末空仓观望，上午抬头都是逃命机会，下午开始屠杀，大盘指数318,854,0,
今日收盘假阳线，主力会如我所愿？！,807,0,
死撑的结果就是击穿2500，只有2500以下才有投资的价值,609,0,
漂亮50只是搭台，真正唱戏的是二、三线蓝筹。题材股只能看戏。,683,0,
大涨啊！这是,640,0,
厂,412,0,
这个点位空仓！感觉很舒坦！因为肯定会回调，明天最危险，黑5又是月底，好悲惨，明天,628,0,
缩量上涨。。。,609,0,
英国人成年人最低时薪7.5英镑，真的好羡慕啊,1273,2,
你妹的，还死撑，来个闪崩玩一下呗,662,0,
9:52分，牛姨判断，沪深300今日收长阴！,1891,1,
早晨起床先看爷爷！九点半看爸爸！就知道孙子今天大概趋势！韭菜我今天继续空仓！看懂,1215,1,
昔日的威风在哪儿了？上证50不是飘亮得要命吗？此时不冲，更待何时？面临外围普跌，,1230,1,
目前大盘指数严重失真，中小创更是泡沫+退市。新股常态发行振振有词。七月一日新规淘,1241,1,
强势调整,653,0,
茅台格力美的等指标股明显短期头部注意短期调整,617,0,
"最后半小时大胆开50点空仓,明天深调整开启.",1006,1,
[赚大了],458,0,
死撑撑不住了吧，这一次我们见证击穿2500的畅爽,731,0,
怎么拉希了,551,0,
简评：50本轮世纪大牛，3波走势大概点位,2096,1,
今天看A股市熊市还是牛市，今天的表现很关键，收长阳就是牛市了,589,0,
明天会不会沪深300闪崩？！,873,0,
机构们会不会在沪深300上玩一次2016年IC500 的故事？ 先全力疯涨，再高,1878,1,
"香港限制借壳上市的规定,我们要借来,限制借壳上市有它的先进性,也可多发新股。",567,0,
七一了，难道要做空股市让香港难看吗,876,1,
谁知道300成分股代码是哪个？,1602,0,
这次MSCI操纵大A手法就高明[大笑]先用一年悄悄入货，在股指期货下好足够多的多,1216,1,
A股应侧重存量整合而不是滥发新股——从信息披露和规范化治理的角度来说，已经上市的,584,0,
三维股份退市不赔偿怎么维权啊,653,0,
银行不能向上拓展空间，整个白马股行情就只有进入休息了！,595,0,
600108月线7连阴，6月8号尾盘大单扫货，6月23日假破位，量放出来说明吓出,1312,0,
国家队，牛姨错了，以后只买上证50股好了。,2608,6,
上周四放量突破60均线，然后回落很多人都开始恐惧了，很多分析师都说大盘见顶，还要,1142,0,
沪深300告诉你，从2016年2月起至今，它己慢牛走一年半了，现要加速冲击前进了,1425,0,
沪深300终于放量了，终于有不怕死的往里冲！这效果没治了,775,0,
天天拉，国家队总有一天会跑的,1124,2,
603728,463,0,
招商银行17元翻一翻是这轮蓝筹股行情终点！赌注一万股招商银行股票！年底见分晓，我,1007,0,
欲悲闻鬼叫，我哭豺狼笑，酒泪祭雄杰，扬眉剑出销,520,0,
跑了招商银行。来雄安板块，上午蓝筹股冲高回落，下午雄安板块护盘,631,0,
300已赶顶了，大跌三天内伊始,522,0,
独木难支！,397,0,
牛市来了,556,0,
直线上升，不是什么好兆头,522,0,
上午蓝筹股冲高回落，下午雄安板块护盘,561,0,
国内大鳄恶控上证50还不够，须引入国际大鳄？！,683,0,
亲儿子们干的啥？18家央企弄虚作假 平白多出2000亿收入 每日经济新闻 1小时,979,0,
沪深300k线很漂亮[献花],887,0,
600108月线7连阴，6月8号尾盘大单扫货，今日假破位，量放出来说明吓出了散户,715,0,
权力不能用来自我寻租，更不能用来欺压弱势群体 （这是中国人民大学副校长吴晓求教授,2359,2,
我认为今后结构性牛市(局部牛股)和结构性股灾(局部股灾)同行，中国机构真是大“智,632,0,
600108月线7连阴，6月8号尾盘大单扫货，今日假破位，量放出来说明吓出了散户,891,0,
十亿人民九亿在低头，谁不为300315做贡献？腾讯眼光独到，进入只是个开端，值得,1319,1,
赶紧清仓，大盘2500来了,1040,1,
不该出手乱出手  现在倒不出手拉大盘了 玛德 一群智障垃圾,1007,1,
沪深300如果也不顶用了，恐怕也就黔驴技穷了，晚上等消息，下周静待5.0,1411,1,
龌龊吧，漂亮300,981,1,
郭嘉队进场啦！逆向操作,729,0,
不破不立，绝地反击。,774,0,
"从ⅠPO进入股市就造假,后面一直造假,造起不停,这是熊冠全球的主要泵原因。",891,0,
300057万顺股份，指标严重超跌，即将涨停封板！[献花][献花][加油][加油,459,0,
大鳄操纵50，丑陋无比！龌龊至极！！！,677,0,
昨天是不是仙人指路？存量资金博弈消耗能量过快，短线解套难了。脱虚向实艰难前行，加,1088,0,
小盘银行股比大盘银行股高定位几倍，小盘券商、小盘保险股同样，同样的小盘威孚高科蓝,787,0,
这都是什么幺蛾子,558,0,
忍住，千万不要上当。,1303,3,
000778/603728,531,0,
今天天大的笑话哈哈哈哈,661,0,
指标股拉不动了,727,0,
下午基建和高铁护盘,658,0,
被遗忘的000709河钢股份底部区域形成！拉升启动已经进入倒计时！为千年雄安新区,846,0,
快买上证50和沪深300，主力帮我们抬轿子，千载难逢机会，到高位还有洋人入场帮我,917,0,
爹就不接盘，除非2000点以下,1244,1,
000709河钢股份底部区域形成！拉升启动已经进入倒计时！为千年雄安新区建设设立,833,0,
万亿级养老市场 双箭股份拟收购医疗养老产业资产 双箭股份发布公告称，拟以不超过2,498,0,
蓝筹股冲高回落在11点附近。有色金属护盘,646,0,
入摩前大鳄早潜入，此时买必入亏损路！,614,0,
国务院督察重点行业风控开始。上市公司面临风险曝光。mscl加入后，对高市盈利，市,600,0,
利好砸盘，砸下后吸筹，尾盘再拉升。中国特色,667,0,
建议规定原始股东减持价格超过其发行价的部分全部上交上市公司。,684,1,
"指数明显起稳后市场保持看好延续反弹动力,开始买入优质类个股持有.",708,1,
"现在应该割公司为主,不要在割散户了,",516,0,
"建立A股割韭莱出发点错误的,出发点应是建立优质企业的公司得到发展,乱搞的公司应该",568,0,
没有量的上涨都是耍流氓，场内资金自己玩，散户骗怕了，下午看蓝筹股装逼,606,0,
mscl与国际接轨，对于中国股市价值回归任重道远，对投机气氛为主的市场，加入MS,722,0,
假指数，,726,0,
借着所谓的利好逃跑，一贯的套路,540,0,
50想逃，看你怎么逃？,561,0,
高开低走,476,0,
上证50等早被恶拉至高风险价位，谁傻谁会高位接套！,673,0,
忠言逆耳！！中国成功加入mscl之后，大盘会选择方向。七成股票向下调整趋势不变。,1447,0,
000778,455,0,
MICL明天见分晓，是骡是马下午分。,1070,1,
000600,478,0,
000600今天一阳突破,533,0,
今天支撑大盘只有雄安板块,999,1,
高开必然低走，下午自由落体运动,581,0,
怎么会有你们这样的败类,731,1,
沪深300走势真是奇葩。,789,0,
"散户买不到,又中不到签的新股,用高价发,中途连续涨关健连续涨散户同样买不到,,制",568,0,
券商投行在IPO红利下，承销收入比去年同期多赚了70%——天下熙熙皆为利来，天下,659,0,
高盛作为企业钻A股IPO漏洞赚取暴利，错不在他们。制度有漏洞，钻漏洞可以赚取暴利,822,0,
站着下跪的人，比俯身屈膝更为低下；灵魂标价的人，比肉体出卖更为可怕！//@正邦有,706,0,
五穷六绝七跳水,589,0,
跟着国家队做T，蓝筹股尾盘卖尽,700,0,
还漂亮5O，漂亮就是为了拉高出货,758,1,
怎么上去的，就怎么下来，哈哈[大笑][大笑],543,0,
看见吧拉高出货吧,472,0,
"超跌电力水电股600131涨停,四川电改类600101明星电力等下午是买点.",616,0,
今年前5个月，有103家大股东进行顶格式减持和清仓式减持，几十亿到手便告别了实体,960,0,
300583唯一创业板低于发行首日价，已止跌企稳，回头向上，反弹空间很大，积极参,511,0,
为什么泸深300，还没开盘就是绿的了？？？,624,0,
[鼓掌]红6月大盘走势良好震荡上行政策面：新股发审数量连续三周放缓从严审核风格未,491,0,
忠言逆耳：五穷六绝了，七翻身不会如期而至。原因是板块和个股分化严重，权重股进入休,762,0,
我看到的是由骗到抢的转变,676,0,
继上证50进入牛市之后，沪深300进入牛市。创业板依旧是熊市。能不能带起创业板，,1279,0,
贪婪~复利 2017-06-17 飞鸟捕鱼 飞鸟捕鱼,645,0,
一切假象掩盖不了一个不挣的事实。那就是要注意沪深两市有100多只一元左右的股票，,941,0,
都散了,652,0,
转发:我倡议我承诺，在2017年剩余时间绝不买入上证50的任何股票！坚决抵制操纵,827,1,
低位反弹有什么好兴奋的呢？看看这畸形的指数，寻底之路漫长，三千点不破就跌不出怀疑,413,0,
这些传统企业成为国家队拉抬股价的主要标的，表明中国股市不可能具有引领产业现代化和,1449,1,
"全球智能水泵龙头300403地尔汉字旱地拔葱拉高;二级市场汇金等机构介入深,看好",510,0,
300583唯一创业板破发行首日价，有50％以上反弹空间。,472,0,
300583创业板唯一首日价，有50％反弹空间。,536,0,
600108月线7连阴，6月8号尾盘大单扫货，日线离半年线和年线较远，10-20,661,0,
大盘3100点之前，坚决空仓,817,1,
大盘回落到3100点附近的风险，尾盘可能会,714,0,
000600,521,0,
300583创业板唯一破发行首日价，现在买等于新股中签,1032,0,
美联储加息A股市场就是喜欢打它的脸！然后大多数时间A股市场自己喜欢打自己的脸，今,730,0,
海外机构再傻也不会在高位为沪50接刀！,640,0,
这透他妈领的所有板块跌,533,0,
沪深300交易量530亿，创业板交易量450多亿，可以看出资金有看好蓝筹股的有看,674,0,
"次新填权类多股涨停,推荐创业板机会到来最近活跃汇金持股300403地尔汉字买入.",452,0,
"新股为什么能发出并能大涨,就是散户买不到,如果发行大量中签的是散户,立马破发并大",593,0,
沪深300要调整两个月左右，降低风险，等待大会的召开好维稳……,926,0,
跌到十天线下单买短！,522,0,
这都是浑浑噩噩,480,0,
怎么不涨了？继续涨啊，漂亮50，[想一下][想一下][想一下]国家队就是一群智障,1168,1,
相信股民的力量！ 转发:我倡议我承诺，在2017年剩余时间绝不买入上证50的任何,1116,2,
宮廷罗卜小春卷，最佳喝酒小点心，早上油炸吃两根，股灾之年赛神仙，罗卜比肉香十倍，,791,0,
[图片],950,0,
昨天下的韭菜苗今天就要拔走了,827,4,
见顶信号，题材股自救，反弹随时结束。,563,0,
"无论人家脱欧还是加息,前前后后股市都在涨都在不断创历史新高,而这个自称世界第二大",584,0,
现在的国家队就是恶庄,548,0,
什么玩意,626,0,
让绝大多数人经历了股灾4.0，损失惨重，某某还经常自我感觉良好，四大证券报还在挺,591,0,
国家队找韭菜接上证50的盘，打死不买,479,0,
不是热衷于股市的制度建设，不去对财务造假进行严刑竣法的制度制衡，不去关注市场投资,737,0,
抱团跌的前奏……,533,0,
"新股大量中签的机构和新股发行持有者再加投行和中介才是真正保护对象,如果有T十0它",764,0,
蓝筹暴跌！可以说是神经指数！,527,0,
稳稳的跑掉了嘿嘿,383,0,
跳水正当时，别个都把你跳水的图画出来了跟着走吧！,545,0,
现在的套路玩的太高了，发行三只股票的当天，肯定长，因为要加大持仓量，呃，提高中签,866,0,
此时不跑，更待屙屎,460,0,
开盘早读：关注二线三线蓝筹的补涨机会。昨天煤飞色舞了，新能源已在轮涨中。存量资金,663,0,
本周，先扬后抑，本周三，谨防，日K线遇60日K线，冲高回落。周四低开低走，周五，,1327,1,
本周，先扬后抑，本周二，谨防，日K线遇60日K线，冲高回落。周三低开低走，周四低,604,0,
